,AAPL,NVDA,INTC,ORCL,VZ,T,DIS,JPM,BAC,C,MCD,SBUX,NKE,KO,PEP,WMT,XOM,CVX,DD,APD,CAT,GE,BA,JNJ,PFE,MRK,SPG,NEE,DUK,SO
AAPL,0.9999999999998773,0.36200929486061,0.3564795345232681,0.28258598144064856,0.020657915095944192,-0.04436205171268127,0.39540879163622805,0.402920215601397,0.31038596440877547,0.290531934797546,-0.01968252486807615,0.18731424464270388,0.3221693174125383,0.09262904045962664,0.18471558255941578,0.2800261024935933,0.05511585062822482,0.1419776874906682,0.28351008206179595,0.34061417274974504,0.26107297400515483,-0.03805507195078767,0.40635309890502597,0.17802099318898781,0.2573354583818672,0.277203176489777,0.09410538000619556,0.30090262207397467,0.08050383261353262,-0.017504365194575273
APD,0.34061417274974504,0.5420147276239368,0.4241665462057167,0.5356239473444542,0.17187868315420352,0.030382706366724393,0.3967574797284268,0.582432773239137,0.4775052421056533,0.4817652539746506,0.2274837985127729,0.29171545281596806,0.31747945131223304,0.09461998523584711,0.3680018413538458,0.34516661589615344,0.28040819773701026,0.45102667697073584,0.5117415585570433,1.000000000000011,0.5144003619851595,0.15701756537276368,0.5568937366023057,0.3793468582997376,0.34789762595473483,0.33228966863682113,0.10603600188484916,0.4294330262145986,0.1583677088965316,-0.015826905514655557
BA,0.40635309890502597,0.4558955225886218,0.35315515986812673,0.37325299553357527,0.10093196695234878,-0.07763753835312992,0.484014320130125,0.5867603022523743,0.5442181991005762,0.5213458973096188,0.23311622240709573,0.31071949441060887,0.43963445763699915,0.04659175886149397,0.2898591999200597,0.2972473783840633,0.15618966786463878,0.3299315797713765,0.4636302653526585,0.5568937366023057,0.33014855266786836,0.17551424963786844,0.9999999999999662,0.25950628385171237,0.5170252489661359,0.2884469770479573,0.04668340954558678,0.3693592348281087,0.04030614288182162,-0.20521155447400852
BAC,0.31038596440877547,0.40419151889326455,0.2740555273123331,0.31584894977459316,-0.07720853538577586,-0.0002927956614743664,0.48192980450032785,0.8700608859069373,1.0000000000001972,0.7960292222836595,-0.06261207076360975,0.157673718637899,0.33316801252999384,-0.06207254713399916,0.2211113111606654,0.14258735492745925,0.13492109106668193,0.27482618522684243,0.5394389030415432,0.4775052421056533,0.42366309492972654,0.2091347311866941,0.5442181991005762,0.26727908864550987,0.3351230344015689,0.2006889297119196,-0.11859435428215119,0.19477645409605657,-0.1447250934335716,-0.29139089667173645
C,0.290531934797546,0.3507297618983793,0.1535456311499124,0.3356871352572986,0.0004152644382579757,0.051804799575034075,0.4177187707759224,0.8180122444082638,0.7960292222836595,0.9999999999999175,0.051708695345777315,0.20245080153343087,0.25446591152254183,0.027791787339661016,0.2911924525290919,0.21448832574488957,0.13843240680858118,0.3360320307544633,0.5114472317341048,0.4817652539746506,0.3608674724951293,0.25388305538340294,0.5213458973096188,0.2940426112689037,0.2980511346321801,0.11396659434950683,-0.15921882207242063,0.06125054393735146,-0.12795560992193197,-0.3032339377784643
CAT,0.26107297400515483,0.37197531215147905,0.3632135726825034,0.40652923202357205,-0.017455245874684083,0.142055184426406,0.06502647544534353,0.4492019882785519,0.42366309492972654,0.3608674724951293,0.13179012420345976,-0.12287529322225264,-0.01687979696133602,-0.07886796967973103,0.023184128359768835,0.09157533951501244,0.39319996332419804,0.4858346318374278,0.658881144550837,0.5144003619851595,0.9999999999999809,0.08279161407853379,0.33014855266786836,0.23943128863386468,0.06802086852802358,0.13249148539284308,-0.0895525742233709,0.09452093226613523,-0.03357740414361896,-0.1432939943665838
CVX,0.1419776874906682,0.26440272775690615,0.38328438521229485,0.27141556808694284,0.4585434957975102,0.39210612371923387,0.2232475813360504,0.34885012611540306,0.27482618522684243,0.3360320307544633,0.265468884547811,-0.01312167702906154,-0.01806602841835562,0.2085786775441592,0.23483526497048082,0.304339918024987,0.6811454556349631,1.0000000000000857,0.4369150663227543,0.45102667697073584,0.4858346318374278,0.36164421701707206,0.3299315797713765,0.3851149159582139,0.1877771354113025,0.2771721937129884,0.17257867975987168,0.25565032069143795,0.10744172561976384,0.09161677120785428
DD,0.28351008206179595,0.5200817471430736,0.3448648884224114,0.37751147633501647,0.06795554334887112,0.18990215014265646,0.333656735152573,0.5898849387840813,0.5394389030415432,0.5114472317341048,0.19565733789380793,0.09939476908248834,0.17503740075160837,0.06925606621922961,0.26877903148004306,0.038075511429273956,0.3667540405031211,0.4369150663227543,0.9999999999999534,0.5117415585570433,0.658881144550837,0.370131369703228,0.4636302653526585,0.4088736419925366,0.22447368805564188,0.18461342132205683,-0.01437894393776535,0.1594655773863373,-0.018739286700457897,-0.17199019657916922
DIS,0.39540879163622805,0.23828969957995683,0.1447270984816453,0.38183295443896,0.2602889881917195,0.1878445231347913,1.0000000000001696,0.563056042024447,0.48192980450032785,0.4177187707759224,0.15917708529615007,0.44716961303262726,0.4506234306417591,0.21788919641600601,0.497456157192814,0.27703947474399293,0.2103459115455936,0.2232475813360504,0.333656735152573,0.3967574797284268,0.06502647544534353,0.3243354929018639,0.484014320130125,0.2985813145786113,0.4591308649319903,0.47075944290426264,0.2837114361051109,0.3775031935516115,0.14041869036026355,-0.017406815899320124
DUK,0.08050383261353262,-0.05537952429170106,0.1924219003353181,0.3156710998290098,0.4137498270993487,0.21263138444170213,0.14041869036026355,-0.12484557154170806,-0.1447250934335716,-0.12795560992193197,0.30873799093985244,0.14686360545128013,0.1664185251067574,0.6016262721510921,0.5426534219264618,0.5774666139004371,0.13520928376737038,0.10744172561976384,-0.018739286700457897,0.1583677088965316,-0.03357740414361896,0.004533730633196307,0.04030614288182162,0.5119158298819588,0.3190536221925972,0.3877295094945937,0.47023338302374795,0.6546104468138646,1.0000000000003506,0.7624541750989194
