Asset_1,Asset_2,Mean_Correlation,beta1_OLS,ADF_stat,ADF_pvalue,Stationary,Trace_Stat,Crit_Value_5%,Rank_detected
KO,DUK,0.6016,0.4517,-4.7743,0.0001,True,24.7604,15.4943,1.0
KO,PEP,0.6415,0.2334,-4.3296,0.0004,True,19.5039,15.4943,1.0
BAC,C,0.796,0.5451,-2.9549,0.0393,True,13.6736,15.4943,0.0
JPM,BAC,0.8701,3.4719,-2.9295,0.042,True,9.2965,15.4943,0.0
PEP,NEE,0.6265,1.6917,-2.5958,0.0939,False,,,
JPM,C,0.818,1.8575,-2.0461,0.2667,False,,,
NEE,DUK,0.6546,0.9767,-1.8976,0.3332,False,,,
PEP,JNJ,0.6896,0.734,-1.7994,0.3808,False,,,
DUK,SO,0.7625,1.8776,-1.6065,0.4803,False,,,
XOM,CVX,0.6811,0.2765,-1.4828,0.542,False,,,
DD,CAT,0.6589,0.4556,-1.2522,0.6507,False,,,
